file,site,sample_rate
recover-20250127/UBNA_026/20250115_212000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_213000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_214000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_215000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_220000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_221000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_222000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_223000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_224000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_225000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_230000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_231000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_232000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_233000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_234000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_235000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_000000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_001000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_002000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_003000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_004000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_005000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_010000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_011000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_012000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_013000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_014000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_015000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_020000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_021000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_022000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_023000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_024000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_025000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_030000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_031000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_032000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_033000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_034000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_035000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_040000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_041000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_042000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_043000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_044000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_045000.WAV,Carp Pond,192000
